"5,952,145","365,437","2,515,675",
United States[e],"1,783,233","104,155","384,841"
Brazil,"468,338","27,944","189,476"
Russia[f],"396,575","4,555","167,469"
United Kingdom[g],"271,222","38,161",
Spain[h],"238,564","27,121","150,376"
Italy,"232,248","33,229","152,844"
Germany[i],"183,089","8,598","164,829"
India,"173,763","4,971","82,369"
Turkey,"162,120","4,489","125,963"
France[j],"149,668","28,714","67,803"
Iran,"148,950","7,734","116,827"
Peru,"148,285","4,230","62,791"
Chile[k],"90,638",944,"38,598"
Canada,"89,418","6,979","47,518"
Mexico,"84,627","9,415","59,610"
Saudi Arabia,"83,384",480,"58,883"
China[l],"83,000","4,634","78,302"
Pakistan,"66,457","1,395","24,131"
Belgium[m],"58,186","9,453","15,769"
Qatar,"55,262",36,"25,839"
Netherlands[n],"46,257","5,951",
Bangladesh,"44,608",610,"9,375"
Belarus,"41,658",229,"17,964"
Ecuador,"38,571","3,334","3,850"
Sweden,"37,113","4,395","4,971"
Singapore,"34,366",23,"19,631"
United Arab Emirates,"33,170",260,"17,097"
Portugal,"32,203","1,396","19,186"
Switzerland,"30,845","1,657","28,400"
South Africa,"29,240",611,"14,370"
Colombia,"26,688",853,"6,913"
Kuwait,"26,192",205,"10,156"
Indonesia,"25,773","1,573","7,015"
Ireland,"24,876","1,645","22,089"
Poland,"23,376","1,051","11,016"
Ukraine[o],"23,204",696,"9,311"
Egypt[p],"22,082",879,"5,511"
Romania,"19,133","1,253","13,046"
Philippines,"17,224",950,"3,808"
Israel[q],"17,008",284,"14,776"
Japan[r],"16,804",886,"14,406"
Austria,"16,619",668,"15,520"
Dominican Republic,"16,068",485,"8,952"
Argentina[s],"15,406",520,"4,775"
Afghanistan,"14,525",249,"1,303"
Panama,"12,531",326,"7,540"
Denmark[t],"11,633",571,"10,327"
South Korea,"11,441",269,"10,398"
Serbia[u],"11,354",242,"6,524"
Bahrain,"10,740",15,"5,811"
Oman,"10,423",42,"2,396"
Kazakhstan,"10,382",37,"5,057"
Nigeria,"9,302",261,"2,697"
Czech Republic,"9,200",319,"6,502"
Algeria,"9,134",638,"5,419"
Armenia,"8,927",127,"3,317"
Bolivia,"8,731",300,749
Norway[v],"8,425",236,"7,727"
Moldova[w],"7,896",288,"4,278"
Ghana,"7,768",35,"2,540"
Malaysia,"7,762",115,"6,330"
Morocco[x],"7,740",203,"5,377"
Australia[y],"7,183",103,"6,582"
Finland[z],"6,826",316,"5,500"
Iraq,"5,873",185,"3,044"
Cameroon,"5,436",177,"3,326"
Azerbaijan[aa],"4,989",58,"3,125"
Honduras,"4,886",199,528
Guatemala,"4,607",90,648
Sudan,"4,521",233,816
Luxembourg,"4,012",110,"3,815"
Hungary,"3,841",517,"2,024"
Puerto Rico,"3,718",133,850
Tajikistan,"3,686",47,"1,769"
Guinea,"3,656",22,"2,000"
Senegal,"3,535",41,"1,761"
Uzbekistan,"3,523",14,"2,783"
Djibouti,"3,194",22,"1,286"
Thailand,"3,077",57,"2,961"
DR Congo[ab],"2,965",71,428
Greece,"2,909",175,"1,374"
Ivory Coast,"2,750",32,"1,370"
Gabon,"2,613",15,709
Bulgaria,"2,499",139,"1,064"
Bosnia & Herzegovina,"2,494",153,"1,831"
El Salvador,"2,395",44,"1,026"
Croatia,"2,246",103,"2,063"
North Macedonia,"2,164",131,"1,535"
Cuba[ac],"2,005",82,"1,760"
Estonia,"1,865",67,"1,622"
Somalia[ad],"1,828",72,310
Iceland,"1,805",10,"1,794"
Kenya,"1,745",62,438
Kyrgyzstan,"1,722",16,1113
Lithuania,"1,670",70,"1,229"
Maldives,"1,633",5,230
Haiti,"1,584",35,22
Sri Lanka,"1,563",10,781
Slovakia,"1,521",28,"1,356"
Slovenia,"1,473",108,"1,357"
Nepal,"1,401",6,219
Venezuela,"1,370",14,302
Equatorial Guinea,"1,306",12,200
Guinea-Bissau,"1,256",8,42
Mali,"1,250",76,696
Lebanon,"1,191",26,708
New Zealand,"1,154",22,"1,131"
Albania,"1,122",33,857
USS Theodore Roosevelt[ae],"1,102",1,53
Hong Kong,"1,083",4,"1,036"
Charles de Gaulle[af],"1,081",0,0
Tunisia,"1,076",48,950
Latvia,"1,065",24,745
Kosovo,"1,064",30,829
Ethiopia,"1,063",8,208
Zambia,"1,057",7,779
Costa Rica,"1,022",10,653
South Sudan,994,10,6
Niger,955,64,813
Cyprus[ag],942,17,784
Paraguay,917,11,413
Central African Republic,874,1,23
Sierra Leone,852,46,415
Burkina Faso,847,53,719
Uruguay[ah],816,22,680
Andorra,764,51,684
Chad,759,65,444
Nicaragua,759,35,370
Madagascar,758,6,165
Georgia[ai],757,12,600
Jordan,730,9,507
Diamond Princess[r],712,14,653
San Marino,671,42,344
Malta,618,9,525
Jamaica,575,9,289
Congo[aj],571,19,161
Tanzania,509,21,183
Donetsk PR[ak],501,17,127
S?o Tom¨¦ & Pr¨ªncipe,463,12,68
Palestine,447,3,368
Taiwan[al],442,7,420
Togo,428,13,202
Mauritania,423,20,21
Cape Verde,405,4,155
Luhansk PR[ak],396,6,288
Rwanda,355,0,247
Isle of Man[am],336,24,309
Mauritius,335,10,322
Uganda,329,0,72
Vietnam,328,0,279
Montenegro,324,9,315
Jersey,308,29,287
Yemen,283,65,11
Liberia,280,27,148
Eswatini,279,2,168
Malawi,273,4,42
Guernsey,252,13,238
Mozambique,234,2,84
Somaliland[an],225,17,23
Benin,224,3,136
Myanmar,224,6,130
Faroe Islands,187,0,187
Mongolia,179,0,43
Guam[ae],172,5,143
Gibraltar,161,0,148
Zimbabwe,160,4,29
Guyana,150,11,67
Costa Atlantica,148,0,0
Brunei,141,2,138
Cayman Islands,141,1,68
Bermuda,140,9,92
Greg Mortimer[ah],128,1,
Cambodia,125,0,123
Syria[ao],122,4,43
Libya,118,5,41
Trinidad & Tobago,116,8,108
Northern Cyprus[ap],108,4,104
Bahamas,102,11,48
Aruba,101,3,98
Monaco,98,4,90
Barbados,92,7,76
Comoros,87,2,24
Liechtenstein,82,1,55
Angola,81,4,18
Sint Maarten,77,15,60
U.S. Virgin Islands,69,6,61
French Polynesia,60,0,60
Macau,45,0,45
Burundi,42,1,20
Eritrea,39,0,39
Artsakh[aq],38,0,26
South Ossetia[ar],37,0,30
Botswana,35,1,20
Bhutan,33,0,6
Abkhazia[as],28,1,15
Saint Vincent[at],26,0,14
The Gambia,25,1,20
Antigua & Barbuda,24,3,19
East Timor,24,0,24
Grenada,23,0,18
Namibia,23,0,14
Northern Mariana Islands,22,2,15
Cura?ao,19,1,14
Laos,19,0,16
Belize,18,2,16
Fiji,18,0,15
New Caledonia,18,0,18
Saint Lucia,18,0,18
Dominica,16,0,16
Saint Kitts & Nevis,15,0,15
Falkland Islands,13,0,13
Greenland,13,0,11
MS Zaandam[au],13,4,
Coral Princess[av],12,2,
Suriname,12,1,9
Turks & Caicos Islands,12,1,10
Vatican City,12,0,2
Montserrat,11,1,10
Seychelles,11,0,11
British Virgin Islands,8,1,7
HNLMS Dolfijn,8,0,
Papua New Guinea,8,0,8
Anguilla,3,0,3
Saba,3,0,3
Bonaire,2,0,2
Lesotho,2,0,1
Sint Eustatius,2,0,2
Saint Pierre & Miquelon,1,0,1
