date,cases,deaths
2020/1/21,1,0
2020/1/22,1,0
2020/1/23,1,0
2020/1/24,2,0
2020/1/25,3,0
2020/1/26,5,0
2020/1/27,5,0
2020/1/28,5,0
2020/1/29,5,0
2020/1/30,6,0
2020/1/31,7,0
2020/2/1,8,0
2020/2/2,11,0
2020/2/3,11,0
2020/2/4,11,0
2020/2/5,12,0
2020/2/6,12,0
2020/2/7,12,0
2020/2/8,12,0
2020/2/9,12,0
2020/2/10,13,0
2020/2/11,13,0
2020/2/12,14,0
2020/2/13,15,0
2020/2/14,15,0
2020/2/15,15,0
2020/2/16,15,0
2020/2/17,25,0
2020/2/18,25,0
2020/2/19,25,0
2020/2/20,27,0
2020/2/21,30,0
2020/2/22,30,0
2020/2/23,30,0
2020/2/24,43,0
2020/2/25,45,0
2020/2/26,60,0
2020/2/27,60,0
2020/2/28,65,0
2020/2/29,70,1
2020/3/1,88,3
2020/3/2,104,6
2020/3/3,125,10
2020/3/4,161,12
2020/3/5,228,12
2020/3/6,311,15
2020/3/7,428,19
2020/3/8,547,22
2020/3/9,748,26
2020/3/10,1018,31
2020/3/11,1263,37
2020/3/12,1668,43
2020/3/13,2224,50
2020/3/14,2898,60
2020/3/15,3600,68
2020/3/16,4507,91
2020/3/17,5906,117
2020/3/18,8350,162
2020/3/19,12393,212
2020/3/20,18001,275
2020/3/21,24526,358
2020/3/22,33063,455
2020/3/23,43500,574
2020/3/24,53924,769
2020/3/25,68530,1039
2020/3/26,85558,1345
2020/3/27,102829,1758
2020/3/28,123723,2287
2020/3/29,142397,2702
2020/3/30,163863,3356
2020/3/31,188413,4290
2020/4/1,215161,5315
2020/4/2,244619,6542
2020/4/3,277262,7902
2020/4/4,312497,9466
2020/4/5,337955,10828
2020/4/6,367567,12330
2020/4/7,399352,14579
2020/4/8,431169,16673
2020/4/9,465846,18772
2020/4/10,499297,21028
2020/4/11,531011,23105
2020/4/12,558150,24785
2020/4/13,583894,26547
2020/4/14,610541,29246
2020/4/15,640557,31994
2020/4/16,672162,34264
2020/4/17,703651,36626
2020/4/18,732031,38571
2020/4/19,757385,40089
2020/4/20,784664,41919
2020/4/21,810143,44587
2020/4/22,838845,46896
2020/4/23,872631,49064
2020/4/24,909471,51191
2020/4/25,943743,53151
2020/4/26,970350,54406
2020/4/27,993704,55979
2020/4/28,1018356,58373
2020/4/29,1045059,60887
2020/4/30,1075474,63097
2020/5/1,1109433,64859
2020/5/2,1138901,66442
2020/5/3,1164994,67773
2020/5/4,1186919,68832
2020/5/5,1210626,71066
2020/5/6,1235131,73774
2020/5/7,1263942,75733
2020/5/8,1291526,77307
2020/5/9,1316441,78761
2020/5/10,1336752,79692
2020/5/11,1354348,80681
2020/5/12,1376639,82336
2020/5/13,1397780,84104
2020/5/14,1424734,85842
2020/5/15,1450963,87435
2020/5/16,1474612,88660
